date,item_name,total_amount_sold
2023-08-04,BLACK VELVET,4276
2024-12-13,BLACK VELVET,4006
2024-11-04,BLACK VELVET,2124
2023-05-19,BLACK VELVET,6046
2024-06-25,BLACK VELVET,4474
2024-10-14,BLACK VELVET,2088
2025-01-24,BLACK VELVET,2636
2023-10-24,BLACK VELVET,3988
2023-10-03,BLACK VELVET,5587
2024-09-24,BLACK VELVET,3494
2023-08-10,BLACK VELVET,2584
2023-11-12,BLACK VELVET,975
2023-04-27,BLACK VELVET,3065
2023-04-14,BLACK VELVET,4526
2023-04-04,BLACK VELVET,3694
2024-09-05,BLACK VELVET,7684
2024-09-26,BLACK VELVET,2515
2023-10-25,BLACK VELVET,3726
2024-11-14,BLACK VELVET,2285
2024-06-06,BLACK VELVET,2661
2024-09-12,BLACK VELVET,2989
2024-11-27,BLACK VELVET,3168
2023-01-20,BLACK VELVET,2948
2024-07-20,BLACK VELVET,2011
2024-05-01,BLACK VELVET,4375
2024-04-01,BLACK VELVET,2154
2024-07-14,BLACK VELVET,1670
2024-01-19,BLACK VELVET,2678
2023-02-10,BLACK VELVET,6481
2023-03-16,BLACK VELVET,2850
2023-10-10,BLACK VELVET,5786
2023-12-28,BLACK VELVET,5777
2024-04-05,BLACK VELVET,5019
2023-12-11,BLACK VELVET,6444
2023-11-30,BLACK VELVET,2075
2023-10-04,BLACK VELVET,5186
2024-04-30,BLACK VELVET,5048
2024-12-06,BLACK VELVET,4368
2023-07-07,BLACK VELVET,8235
2025-05-05,BLACK VELVET,2588
2023-08-09,BLACK VELVET,3851
2025-02-12,BLACK VELVET,3811
2024-02-22,BLACK VELVET,3796
2023-09-06,BLACK VELVET,8730
2023-11-20,BLACK VELVET,2508
2025-03-18,BLACK VELVET,3866
2023-05-25,BLACK VELVET,5689
2023-02-14,BLACK VELVET,5717
2023-11-29,BLACK VELVET,2441
2025-02-26,BLACK VELVET,4355
2024-02-08,BLACK VELVET,5453
2024-06-27,BLACK VELVET,3466
2025-02-28,BLACK VELVET,4329
2025-04-15,BLACK VELVET,5415
2024-10-21,BLACK VELVET,5105
2024-12-11,BLACK VELVET,5771
2023-04-05,BLACK VELVET,3172
2023-04-19,BLACK VELVET,2786
2024-11-25,BLACK VELVET,3810
2024-01-04,BLACK VELVET,3209
2024-07-30,BLACK VELVET,6454
2024-07-06,BLACK VELVET,3233
2024-08-11,BLACK VELVET,687
2025-01-31,BLACK VELVET,4031
2024-09-06,BLACK VELVET,6045
2024-07-10,BLACK VELVET,3383
2024-03-01,BLACK VELVET,3680
2025-05-07,BLACK VELVET,3629
2023-05-16,BLACK VELVET,6033
2023-01-18,BLACK VELVET,2686
2024-03-22,BLACK VELVET,3450
2025-05-28,BLACK VELVET,5338
2025-04-04,BLACK VELVET,5728
2024-05-17,BLACK VELVET,4203
2023-02-02,BLACK VELVET,3861
2023-06-13,BLACK VELVET,3598
2024-03-04,BLACK VELVET,2019
2023-02-16,BLACK VELVET,2842
2023-03-14,BLACK VELVET,3477
2023-07-12,BLACK VELVET,4956
2025-04-09,BLACK VELVET,5577
2023-06-01,BLACK VELVET,3963
2023-01-05,BLACK VELVET,3494
2023-11-25,BLACK VELVET,107
2024-01-15,BLACK VELVET,2813
2023-11-01,BLACK VELVET,2374
2024-10-10,BLACK VELVET,2749
2025-01-29,BLACK VELVET,2731
2024-04-08,BLACK VELVET,2485
2023-11-08,BLACK VELVET,3377
2023-01-13,BLACK VELVET,3194
2023-06-27,BLACK VELVET,5955
2025-02-14,BLACK VELVET,4674
2024-01-31,BLACK VELVET,3441
2023-12-06,BLACK VELVET,13432
2023-09-25,BLACK VELVET,2292
2024-09-23,BLACK VELVET,3084
2023-01-23,BLACK VELVET,2844
2024-07-12,BLACK VELVET,2480
2025-01-15,BLACK VELVET,3060
2024-03-28,BLACK VELVET,2543
2023-02-21,BLACK VELVET,7223
2023-07-25,BLACK VELVET,4185
2023-12-03,BLACK VELVET,1416
2023-01-03,BLACK VELVET,3339
2024-03-07,BLACK VELVET,3175
2024-06-29,BLACK VELVET,2241
2023-11-16,BLACK VELVET,3259
2025-03-17,BLACK VELVET,2713
2024-07-23,BLACK VELVET,4086
2023-12-07,BLACK VELVET,8794
2023-09-19,BLACK VELVET,5316
2025-04-29,BLACK VELVET,5633
2023-08-21,BLACK VELVET,3249
2025-02-07,BLACK VELVET,9055
2025-02-13,BLACK VELVET,3233
2023-08-01,BLACK VELVET,4318
2024-07-15,BLACK VELVET,4557
2024-05-21,BLACK VELVET,4898
2024-07-02,BLACK VELVET,5754
2025-04-07,BLACK VELVET,4804
2024-09-10,BLACK VELVET,5323
2023-04-11,BLACK VELVET,3923
2024-12-04,BLACK VELVET,6201
2023-07-18,BLACK VELVET,4023
2024-10-15,BLACK VELVET,6066
2023-01-19,BLACK VELVET,2180
2023-10-09,BLACK VELVET,2995
2024-01-29,BLACK VELVET,3227
2025-04-18,BLACK VELVET,4586
2024-03-18,BLACK VELVET,3003
2024-08-12,BLACK VELVET,2985
2024-02-27,BLACK VELVET,9812
2024-10-24,BLACK VELVET,2806
2025-05-14,BLACK VELVET,2799
2023-03-10,BLACK VELVET,4243
2023-03-28,BLACK VELVET,4347
2024-05-31,BLACK VELVET,4348
2024-04-26,BLACK VELVET,3633
2025-01-28,BLACK VELVET,3691
2025-03-28,BLACK VELVET,4191
2025-03-24,BLACK VELVET,3657
2023-03-26,BLACK VELVET,6
2023-11-26,BLACK VELVET,1502
2024-04-03,BLACK VELVET,3430
2023-07-10,BLACK VELVET,3358
2023-09-08,BLACK VELVET,6348
2024-11-15,BLACK VELVET,3630
2024-05-06,BLACK VELVET,2917
2023-01-31,BLACK VELVET,5027
2024-11-21,BLACK VELVET,2897
2024-07-21,BLACK VELVET,1131
2024-05-16,BLACK VELVET,6003
2024-03-27,BLACK VELVET,3721
2023-10-27,BLACK VELVET,4603
2023-03-01,BLACK VELVET,2925
2023-05-03,BLACK VELVET,6162
2023-09-20,BLACK VELVET,3683
2024-05-28,BLACK VELVET,4831
2024-07-18,BLACK VELVET,3207
2025-05-02,BLACK VELVET,3207
2025-05-26,BLACK VELVET,48
2024-04-25,BLACK VELVET,4339
2025-01-02,BLACK VELVET,3549
2023-08-24,BLACK VELVET,2942
2024-03-29,BLACK VELVET,4572
2024-04-16,BLACK VELVET,3416
2023-04-28,BLACK VELVET,4608
2023-09-14,BLACK VELVET,3293
2025-02-04,BLACK VELVET,8725
2023-04-25,BLACK VELVET,4441
2023-03-20,BLACK VELVET,3103
2023-03-21,BLACK VELVET,3140
2023-05-24,BLACK VELVET,5271
2024-12-08,BLACK VELVET,960
2023-12-16,BLACK VELVET,1059
2023-12-21,BLACK VELVET,2920
2024-05-02,BLACK VELVET,6189
2024-01-12,BLACK VELVET,1085
2023-12-12,BLACK VELVET,6718
2025-05-27,BLACK VELVET,6451
2024-09-27,BLACK VELVET,4046
2024-11-18,BLACK VELVET,3114
2023-01-25,BLACK VELVET,3711
2024-09-11,BLACK VELVET,5382
2023-04-09,BLACK VELVET,6
2024-10-25,BLACK VELVET,4492
2024-02-04,BLACK VELVET,1265
2023-12-15,BLACK VELVET,5223
2024-11-07,BLACK VELVET,1938
2023-02-20,BLACK VELVET,4276
2024-03-08,BLACK VELVET,2743
2023-07-24,BLACK VELVET,4211
2023-09-15,BLACK VELVET,5201
2023-11-28,BLACK VELVET,2591
2024-06-16,BLACK VELVET,766
2023-08-15,BLACK VELVET,4413
2023-01-26,BLACK VELVET,3168
2023-07-28,BLACK VELVET,5977
2025-02-09,BLACK VELVET,176
